0,1,2,3,4,5,6,7,8,9
Robles Alvaro,https://tabletennis.guide/ittfplayer/portrait/alvaro-robles-111050.jpg?uin=1680535627,54,852.86,Spain,32,left,shakehand,54,attack
Apolonia Tiago,https://tabletennis.guide/ittfplayer/portrait/tiago-apolonia-100621.jpg?uin=1680535632,55,835.68,Portugal,37,right,shakehand,55,attack
Wang Eugene,https://tabletennis.guide/ittfplayer/portrait/eugene-wang-114247.jpg?uin=1680535637,56,537.86,Canada,38,right,shakehand,56,attack
Ort Kilian,https://tabletennis.guide/ittfplayer/portrait/kilian-ort-116530.jpg?uin=1680535642,57,617.68,Germany,27,right,shakehand,57,attack
Olah Benedek,https://tabletennis.guide/ittfplayer/portrait/benedek-olah-110726.jpg?uin=1680535648,58,818.86,Finland,32,right,shakehand,58,attack
Yan Xin,https://tabletennis.guide/ittfplayer/portrait/xin-yan-117797.jpg?uin=1680535653,59,343.39,Australia,35,right,shakehand,59,attack
Skachkov Kirill,https://tabletennis.guide/ittfplayer/portrait/kirill-skachkov-108742.jpg?uin=1680535658,60,913.34,Russia,36,right,shakehand,60,attack
Habesohn Daniel,https://tabletennis.guide/ittfplayer/portrait/daniel-habesohn-103345.jpg?uin=1680535664,61,986.8,Austria,37,right,shakehand,61,attack
Ionescu Ovidiu,https://tabletennis.guide/ittfplayer/portrait/ovidiu-ionescu-103903.jpg?uin=1680535669,62,873.92,Romania,34,right,shakehand,62,attack
Tsuboi Gustavo,https://tabletennis.guide/ittfplayer/portrait/gustavo-tsuboi-109581.jpg?uin=1680535675,63,1047.66,Brazil,38,left,shakehand,63,attack
Cho Seungmin,https://tabletennis.guide/ittfplayer/portrait/seungmin-cho-119284.jpg?uin=1680535680,64,674.93,Korea,25,left,shakehand,64,attack
Feng Yi-Hsin,https://tabletennis.guide/ittfplayer/portrait/yi-hsin-feng-122727.jpg?uin=1680535686,65,455.05,Taiwan,20,right,shakehand,65,attack
Zhao Zihao,https://tabletennis.guide/ittfplayer/portrait/zihao-zhao-134380.jpg?uin=1680535692,66,1159.1,China,26,right,penhold,66,attack
Saleh Ahmed,https://tabletennis.guide/ittfplayer/portrait/ahmed-saleh-100439.jpg?uin=1680535697,67,889.46,Egypt,44,right,shakehand,67,attack
Akkuzu Can,https://tabletennis.guide/ittfplayer/portrait/can-akkuzu-116612.jpg?uin=1680535703,68,678.56,France,26,right,shakehand,68,attack
Ishiy Vitor,https://tabletennis.guide/ittfplayer/portrait/vitor-ishiy-117312.jpg?uin=1680535709,69,848.27,Brazil,28,right,shakehand,69,attack
Afanador Brian,https://tabletennis.guide/ittfplayer/portrait/brian-afanador-115000.jpg?uin=1680535714,70,743.42,Rico,26,right,shakehand,70,attack
Mino Alberto,https://tabletennis.guide/ittfplayer/portrait/alberto-mino-106151.jpg?uin=1680535720,71,713.56,Ecuador,33,right,shakehand,71,attack
Oikawa Mizuki,https://tabletennis.guide/ittfplayer/portrait/mizuki-oikawa-120850.jpg?uin=1680535726,72,660.17,Japan,26,right,shakehand,72,attack
Xue Fei,https://tabletennis.guide/ittfplayer/portrait/fei-xue-121412.jpg?uin=1680535732,73,516.42,China,24,right,penhold,73,attack
Kizukuri Yuto,https://tabletennis.guide/ittfplayer/portrait/yuto-kizukuri-119794.jpg?uin=1680535738,74,480.68,Japan,24,left,shakehand,74,attack
Diaw Ibrahima,https://tabletennis.guide/ittfplayer/portrait/ibrahima-diaw-113681.jpg?uin=1680535743,75,809.37,Senegal,31,right,shakehand,75,attack
Aguirre Marcelo,https://tabletennis.guide/ittfplayer/portrait/marcelo-aguirre-111115.jpg?uin=1680535748,76,817.58,Paraguay,30,left,shakehand,76,attack
